,campaign_disc_ele,cons_12m,cons_gas_12m,cons_last_month,forecast_base_bill_ele,forecast_base_bill_year,forecast_bill_12m,forecast_cons,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_energy_p2,forecast_price_pow_p1,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max
forecast_discount_energy,,-0.04162302995877848,0.005713690568878069,-0.04120945865846933,0.012223771983217611,0.012223771983217611,0.056368499189286346,0.03449451644279198,0.025953900641373002,-0.007673622195118044,1.0,-0.010918864075109178,0.32793593423647344,0.04487090131684615,0.009829136815875742,0.010624650003934246,0.18501710617859962,0.1741383895953939,0.1558671008958539,0.12936584411645644,-0.0390790760958858,-0.014513354991707793
forecast_meter_rent_12m,,0.06411553843109362,0.04482668679972133,0.06569816339556256,0.31877011901489527,0.31877011901489527,0.3378089785537687,0.22308187297768467,0.2738590154825334,0.19221536793653077,-0.010918864075109178,1.0,-0.5155928602993924,0.5507513682823694,-0.05727212869062942,0.18606102526301044,0.04097135604308866,0.06311740328280432,-0.0005479296894370511,0.1848758511755024,0.11043521099726267,0.5244330109388197
forecast_price_energy_p1,,-0.0475260504248968,-0.06766460746252038,-0.05621874625954544,-0.291216081751485,-0.291216081751485,-0.2677982187229083,-0.2145826833296603,-0.21802818812247324,-0.17659344084989206,0.32793593423647344,-0.5155928602993924,1.0,-0.4690859516558884,0.2968478652810304,-0.16177478658731445,0.2091954164367075,-0.0025274499983653277,0.03763515313137196,-0.07111842409245396,-0.12392628265044733,-0.373357468387522
forecast_price_energy_p2,,0.1216401864394052,0.08035523715440915,0.1068266933593142,0.3523386917157679,0.3523386917157679,0.31920033696496397,0.26853381031558893,0.2094053703855264,0.15889519997010906,0.04487090131684615,0.5507513682823694,-0.4690859516558884,1.0,-0.3102001309984463,0.1556631850990758,0.10007189983868936,0.12510216533783847,0.04273708305295773,0.14175161101435824,0.06908681922601553,0.3706959550463538
forecast_price_pow_p1,,-0.031102156009191202,-0.027667877374452646,0.011490602234537278,0.07693905162770183,0.07693905162770183,0.10504411731827899,0.04807285189178763,0.006229161580501368,0.08315646680607529,0.009829136815875742,-0.05727212869062942,0.2968478652810304,-0.3102001309984463,1.0,0.06635623184992426,-0.043898770183791125,-0.12949339307073743,-0.055272635656049195,0.04992777256650334,0.08091407816364293,0.010362723527937177
imp_cons,,0.23288506771725948,0.1338191145481277,0.31334952765115526,0.9664568686628979,0.9664568686628979,0.8208053011539532,1.0,0.7805492165683684,0.9881007716258129,0.010624650003934246,0.18606102526301044,-0.16177478658731445,0.1556631850990758,0.06635623184992426,1.0,-0.10092916677454199,-0.07908202565422999,0.04023347312714766,0.3994256076226311,0.005448360881156123,0.4264829281239043
margin_gross_pow_ele,,-0.0700502795432631,0.015581448774217892,-0.06282814643593017,-0.07859702205116327,-0.07859702205116327,-0.08558625163295618,-0.11282572563730645,-0.1400124554832507,-0.10637489819337945,0.18501710617859962,0.04097135604308866,0.2091954164367075,0.10007189983868936,-0.043898770183791125,-0.10092916677454199,1.0,0.7917915267708853,0.042897337696816744,-0.02865679726261029,-0.08594544032689597,0.128516014355661
margin_net_pow_ele,,-0.05094810340428702,0.021359098158847695,-0.04559211413711601,-0.03061976800452443,-0.03061976800452443,-0.03776345419625267,-0.06381768984568637,-0.10775652857182769,-0.08487413125808208,0.1741383895953939,0.06311740328280432,-0.0025274499983653277,0.12510216533783847,-0.12949339307073743,-0.07908202565422999,0.7917915267708853,1.0,0.05560754730199251,-0.024831417905523043,-0.047515297892979466,0.1320296444948431
nb_prod_act,,0.02753691523639748,0.3289580049383754,0.020285431983328647,0.13466249533011934,0.13466249533011934,0.14754718645288484,0.14732002356432314,0.06310875050265206,0.025294669668833505,0.1558671008958539,-0.0005479296894370511,0.03763515313137196,0.04273708305295773,-0.055272635656049195,0.04023347312714766,0.042897337696816744,0.05560754730199251,1.0,0.10763604320010511,-0.029610457917028758,0.009164660685763482
net_margin,,0.11564035671396315,0.1797995916179233,0.11063780328776968,0.490055178807688,0.490055178807688,0.6758122386909724,0.5276843174349772,0.635947731927964,0.3623337462633935,0.12936584411645644,0.1848758511755024,-0.07111842409245396,0.14175161101435824,0.04992777256650334,0.3994256076226311,-0.02865679726261029,-0.024831417905523043,0.10763604320010511,1.0,-0.022181977689245493,0.3659808282506084
num_years_antig,,-0.0064497530434774655,0.016085228088394646,-0.007368962445930981,-0.004514665664834238,-0.004514665664834238,-0.023641997317401856,-0.04323081867309295,0.028382521355130336,0.012067727087923561,-0.0390790760958858,0.11043521099726267,-0.12392628265044733,0.06908681922601553,0.08091407816364293,0.005448360881156123,-0.08594544032689597,-0.047515297892979466,-0.029610457917028758,-0.022181977689245493,1.0,0.03406851822283211
pow_max,,0.13594337866875436,0.10495864779189043,0.13160561457577347,0.6660496460790992,0.6660496460790992,0.7599781494294663,0.5018899572959208,0.5941124462747355,0.433284854082121,-0.014513354991707793,0.5244330109388197,-0.373357468387522,0.3706959550463538,0.010362723527937177,0.4264829281239043,0.128516014355661,0.1320296444948431,0.009164660685763482,0.3659808282506084,0.03406851822283211,1.0
